id,split_1,split_2,split_3,is_teenager,num_segments,views,clicks,ctr
112,B,B,A,1,15,59,0,0.0
113,A,A,B,0,13,50,0,0.0
114,B,A,B,1,3,3,0,0.0
115,A,B,A,0,5,21,1,0.047619047619047616
116,A,B,A,0,12,55,2,0.03636363636363636
117,A,A,A,0,14,50,1,0.02
118,B,A,A,1,4,6,0,0.0
119,A,A,B,0,4,5,0,0.0
120,A,A,B,0,10,52,0,0.0
121,A,A,B,0,9,25,1,0.04
122,B,B,B,1,10,44,2,0.045454545454545456
123,A,B,A,0,10,62,1,0.016129032258064516
124,B,B,A,1,12,50,2,0.04
125,B,B,A,1,3,5,0,0.0
126,A,A,A,0,10,44,0,0.0
127,B,A,A,1,2,5,0,0.0
128,A,A,B,0,15,59,1,0.01694915254237288
129,A,A,B,0,16,53,1,0.018867924528301886
130,B,A,B,1,3,6,0,0.0
131,A,A,B,0,10,46,1,0.021739130434782608
132,A,A,B,0,11,41,0,0.0
133,A,A,A,0,16,50,0,0.0
134,A,B,B,0,6,25,2,0.08
135,B,A,A,1,2,4,0,0.0
136,A,B,A,0,11,52,2,0.038461538461538464
137,B,B,B,1,16,71,0,0.0
138,B,A,A,0,14,46,0,0.0
139,A,A,A,0,7,53,0,0.0
140,A,A,A,0,20,64,0,0.0
141,B,B,B,1,7,20,2,0.1
142,A,A,A,0,17,61,1,0.01639344262295082
143,A,B,B,0,19,61,0,0.0
144,B,B,A,1,6,41,0,0.0
145,A,A,B,0,12,60,0,0.0
146,B,A,A,0,14,56,0,0.0
147,A,B,A,0,8,59,1,0.01694915254237288
148,A,A,A,0,14,60,1,0.016666666666666666
149,A,A,A,0,10,32,2,0.0625
150,A,B,B,0,5,11,2,0.18181818181818182
151,A,A,A,0,21,66,2,0.030303030303030304
152,A,A,A,0,12,63,1,0.015873015873015872
153,A,A,B,0,11,53,0,0.0
154,B,A,A,1,2,6,0,0.0
155,B,B,A,1,4,4,0,0.0
156,A,B,A,0,10,46,2,0.043478260869565216
157,B,A,B,1,2,3,0,0.0
158,B,B,B,1,2,4,0,0.0
159,A,B,B,0,5,20,4,0.2
160,B,A,A,1,4,4,0,0.0
161,B,B,B,1,2,5,0,0.0
162,A,B,A,0,15,67,0,0.0
163,B,B,B,1,3,4,0,0.0
164,B,A,A,1,14,46,0,0.0
165,B,A,A,1,3,5,0,0.0
166,A,B,B,0,3,5,0,0.0
167,B,A,B,1,3,6,0,0.0
168,B,B,A,1,3,5,0,0.0
169,B,A,B,1,3,3,0,0.0
170,B,B,A,1,5,6,0,0.0
171,B,B,A,1,3,4,0,0.0
172,A,B,B,0,12,57,0,0.0
173,B,A,A,1,4,5,0,0.0
174,A,A,B,0,15,57,0,0.0
175,B,B,B,1,2,4,0,0.0
176,B,B,A,1,15,65,1,0.015384615384615385
177,B,B,A,1,3,3,0,0.0
178,B,A,B,1,3,3,0,0.0
179,B,B,B,0,14,51,0,0.0
180,B,A,A,1,10,53,0,0.0
181,A,A,B,0,18,50,1,0.02
182,B,A,B,0,18,63,0,0.0
183,B,A,A,1,2,3,0,0.0
184,B,A,B,1,4,6,0,0.0
185,B,B,B,1,11,59,3,0.05084745762711865
186,B,A,B,1,4,6,0,0.0
187,B,A,A,1,4,9,0,0.0
188,B,B,A,1,5,3,0,0.0
189,A,A,B,0,8,45,0,0.0
190,A,A,B,0,7,25,2,0.08
191,B,A,A,1,2,5,0,0.0
192,B,B,A,1,6,24,2,0.08333333333333333
193,A,A,B,0,9,38,0,0.0
194,B,B,A,1,4,19,4,0.21052631578947367
195,B,B,A,1,15,57,0,0.0
196,B,A,A,1,2,5,0,0.0
197,B,A,A,1,6,57,0,0.0
198,A,B,A,0,14,51,1,0.0196078431372549
199,A,A,B,0,10,44,2,0.045454545454545456
200,A,B,B,0,15,56,1,0.017857142857142856
201,A,A,B,0,11,54,0,0.0
202,A,B,B,0,12,52,1,0.019230769230769232
203,B,B,A,1,3,4,0,0.0
204,B,B,B,1,2,3,0,0.0
205,B,A,B,1,2,7,0,0.0
206,B,A,B,1,2,7,0,0.0
207,A,A,A,0,10,40,1,0.025
208,B,B,A,0,2,6,0,0.0
209,B,B,A,1,2,3,0,0.0
210,A,A,A,0,2,5,0,0.0
211,B,B,B,0,18,57,2,0.03508771929824561
212,A,B,A,0,10,31,2,0.06451612903225806
213,A,A,A,0,11,49,0,0.0
214,A,A,A,0,13,51,0,0.0
215,A,B,B,0,2,3,0,0.0
216,B,A,B,1,3,5,0,0.0
217,A,A,B,0,2,6,0,0.0
218,A,A,A,0,3,5,0,0.0
219,A,B,B,0,11,25,4,0.16
220,B,A,B,1,3,5,0,0.0
221,B,A,B,1,3,5,0,0.0
222,B,A,B,1,2,3,0,0.0
223,B,A,B,1,3,6,0,0.0
224,A,B,A,0,9,59,0,0.0
225,A,A,B,0,8,34,0,0.0
226,B,A,A,1,2,2,0,0.0
227,A,B,A,0,5,19,3,0.15789473684210525
228,A,A,B,0,10,53,0,0.0
229,B,A,B,1,3,6,0,0.0
230,A,B,A,0,20,63,1,0.015873015873015872
231,B,B,B,1,2,5,0,0.0
232,A,B,B,0,15,41,0,0.0
233,B,B,B,1,2,2,0,0.0
234,A,A,A,0,11,49,1,0.02040816326530612
235,B,B,A,1,3,3,0,0.0
236,B,B,B,1,4,5,0,0.0
237,B,A,A,1,2,3,0,0.0
238,A,A,B,0,10,40,0,0.0
239,B,B,A,1,3,7,0,0.0
240,B,B,B,1,13,44,1,0.022727272727272728
241,A,A,A,0,14,52,0,0.0
242,B,A,A,1,14,48,0,0.0
243,A,B,A,0,5,12,2,0.16666666666666666
244,A,B,B,0,8,24,1,0.041666666666666664
245,B,A,A,1,2,4,0,0.0
246,A,A,A,0,16,52,0,0.0
247,A,A,B,0,17,46,0,0.0
248,A,B,B,0,11,52,1,0.019230769230769232
249,B,A,A,1,2,4,0,0.0
250,A,B,A,0,13,53,2,0.03773584905660377
251,B,B,A,1,4,7,0,0.0
252,A,A,B,0,5,17,1,0.058823529411764705
253,A,B,B,0,13,63,0,0.0
254,A,B,B,0,14,52,0,0.0
255,A,A,A,0,10,51,0,0.0
256,B,A,A,1,3,3,0,0.0
257,B,A,A,1,2,6,0,0.0
258,B,B,A,1,3,4,0,0.0
259,A,A,B,0,12,48,0,0.0
260,A,B,A,0,10,56,2,0.03571428571428571
261,A,B,A,0,15,69,6,0.08695652173913043
262,B,B,A,1,2,4,0,0.0
263,A,B,A,0,11,54,0,0.0
264,A,A,B,0,13,43,0,0.0
265,B,B,B,1,2,8,0,0.0
266,B,A,B,1,3,5,0,0.0
267,A,B,B,0,17,64,0,0.0
268,A,A,A,0,6,28,4,0.14285714285714285
269,B,A,B,1,2,18,0,0.0
270,B,A,A,1,2,4,0,0.0
271,B,A,B,1,2,3,0,0.0
272,A,B,B,0,10,52,0,0.0
273,B,B,B,1,2,2,0,0.0
274,B,A,B,1,2,4,0,0.0
275,B,B,B,1,2,4,0,0.0
276,B,A,A,1,3,8,0,0.0
277,B,A,B,1,2,3,0,0.0
278,B,A,A,1,10,45,1,0.022222222222222223
279,A,B,B,0,10,52,0,0.0
280,B,B,A,1,3,8,0,0.0
281,A,A,B,0,14,49,0,0.0
282,B,B,B,1,19,71,1,0.014084507042253521
283,B,B,A,1,2,6,0,0.0
284,A,A,A,0,2,6,0,0.0
285,A,A,B,0,13,53,1,0.018867924528301886
286,A,A,B,0,20,51,1,0.0196078431372549
287,B,A,B,1,4,5,0,0.0
288,A,A,B,0,17,57,1,0.017543859649122806
289,B,A,B,1,4,5,0,0.0
290,A,A,B,0,16,55,0,0.0
291,B,A,A,1,13,47,0,0.0
292,A,B,B,0,7,20,3,0.15
293,A,A,B,0,13,69,1,0.014492753623188406
294,A,A,B,0,10,53,0,0.0
295,B,B,B,1,6,42,0,0.0
296,B,A,B,0,2,3,0,0.0
297,B,B,A,1,2,6,0,0.0
298,B,B,A,1,2,3,0,0.0
299,B,A,B,1,13,57,0,0.0
300,A,A,B,0,15,69,2,0.028985507246376812
301,A,A,A,0,8,22,3,0.13636363636363635
302,A,B,A,0,10,38,2,0.05263157894736842
303,A,A,A,0,12,54,0,0.0
304,A,B,A,0,5,49,0,0.0
305,B,A,B,1,4,5,0,0.0
306,B,A,B,1,15,50,0,0.0
307,B,A,A,1,2,5,0,0.0
308,B,A,B,1,4,4,0,0.0
309,A,A,B,0,12,51,0,0.0
310,A,A,B,0,9,44,0,0.0
311,B,A,A,1,3,4,0,0.0
312,A,B,A,0,2,4,0,0.0
313,B,B,A,1,9,52,3,0.057692307692307696
314,B,B,A,1,11,51,1,0.0196078431372549
315,B,A,A,1,7,47,0,0.0
316,A,A,B,0,11,48,0,0.0
317,A,A,A,0,15,51,0,0.0
318,B,B,B,1,5,5,0,0.0
319,A,B,A,0,7,46,1,0.021739130434782608
320,B,B,B,1,3,8,0,0.0
321,B,B,B,1,12,55,2,0.03636363636363636
322,A,A,A,0,9,54,0,0.0
323,A,A,A,0,11,57,1,0.017543859649122806
324,B,B,B,1,2,5,0,0.0
325,A,B,A,0,15,48,2,0.041666666666666664
326,B,B,B,1,4,5,0,0.0
327,B,B,B,1,2,7,0,0.0
328,B,A,A,1,12,54,2,0.037037037037037035
329,B,B,A,1,13,56,0,0.0
330,A,B,B,0,19,59,2,0.03389830508474576
331,B,A,A,1,3,5,0,0.0
332,B,B,B,1,15,50,0,0.0
333,A,A,B,0,14,20,2,0.1
334,A,B,B,0,11,52,0,0.0
335,B,A,A,1,2,5,0,0.0
336,A,B,B,0,13,49,1,0.02040816326530612
337,A,B,A,0,9,49,0,0.0
338,A,B,A,0,7,54,0,0.0
339,B,B,B,1,2,7,0,0.0
340,B,A,A,1,4,7,0,0.0
341,A,B,B,0,15,45,0,0.0
342,B,B,A,0,15,52,2,0.038461538461538464
343,A,B,A,0,7,26,2,0.07692307692307693
344,A,A,A,0,14,46,1,0.021739130434782608
345,A,B,B,0,10,44,0,0.0
346,B,B,B,1,4,7,0,0.0
347,A,A,B,0,8,26,5,0.19230769230769232
348,B,A,A,1,3,3,0,0.0
349,A,B,B,0,9,52,1,0.019230769230769232
350,B,B,B,1,2,7,0,0.0
351,B,A,A,1,3,7,0,0.0
352,B,A,B,1,11,58,2,0.034482758620689655
353,A,A,A,0,5,17,3,0.17647058823529413
354,A,B,A,0,8,44,1,0.022727272727272728
355,A,B,A,0,16,49,0,0.0
356,B,B,A,1,3,4,0,0.0
357,B,A,B,1,2,4,0,0.0
358,A,B,B,0,10,26,5,0.19230769230769232
359,A,B,B,0,4,8,0,0.0
360,B,B,A,1,3,7,0,0.0
361,B,A,A,1,3,3,0,0.0
362,B,A,A,1,3,7,0,0.0
363,B,A,B,1,2,4,0,0.0
364,A,B,A,0,14,46,1,0.021739130434782608
365,A,A,A,0,11,52,0,0.0
366,B,B,B,1,10,52,3,0.057692307692307696
367,A,B,A,0,11,70,1,0.014285714285714285
368,B,A,B,1,2,4,0,0.0
369,B,B,A,1,2,4,0,0.0
370,A,A,A,0,11,46,1,0.021739130434782608
371,B,A,B,1,16,56,0,0.0
372,B,A,B,1,3,3,0,0.0
373,A,A,B,0,5,22,2,0.09090909090909091
374,A,A,A,0,2,3,0,0.0
375,B,A,A,1,3,4,0,0.0
376,A,A,A,0,11,53,0,0.0
377,A,A,B,0,8,19,1,0.05263157894736842
378,B,A,A,1,3,4,0,0.0
379,A,B,A,0,10,45,1,0.022222222222222223
380,B,A,A,1,2,3,0,0.0
381,B,B,A,1,9,51,0,0.0
382,B,A,B,1,9,59,0,0.0
383,A,A,B,0,11,59,0,0.0
384,A,B,B,0,12,49,2,0.04081632653061224
385,A,A,B,0,11,32,0,0.0
386,B,B,A,1,15,56,0,0.0
387,B,B,A,1,5,9,0,0.0
388,A,B,A,0,11,49,3,0.061224489795918366
389,A,B,A,0,13,59,0,0.0
390,A,A,A,0,12,69,1,0.014492753623188406
391,A,A,B,0,9,47,0,0.0
392,B,B,B,1,4,3,0,0.0
393,A,A,B,0,12,52,0,0.0
394,A,A,A,0,9,47,0,0.0
395,B,B,B,1,2,5,0,0.0
396,A,A,B,0,11,48,0,0.0
397,B,A,A,1,16,63,0,0.0
398,B,B,A,1,2,3,0,0.0
399,A,B,B,0,19,56,0,0.0
400,A,B,B,0,8,45,0,0.0
401,B,B,A,1,3,7,0,0.0
402,B,A,A,1,10,47,1,0.02127659574468085
403,B,B,B,1,3,4,0,0.0
404,A,B,B,0,10,52,2,0.038461538461538464
405,A,A,B,0,10,45,0,0.0
406,A,B,B,0,4,24,5,0.20833333333333334
407,A,B,B,0,23,57,1,0.017543859649122806
408,B,B,A,1,2,4,0,0.0
409,B,A,B,1,14,59,0,0.0
410,A,B,B,0,11,52,2,0.038461538461538464
411,A,B,A,0,16,61,2,0.03278688524590164
412,A,A,B,0,13,62,2,0.03225806451612903
413,B,A,A,1,3,5,0,0.0
414,B,B,A,1,11,43,0,0.0
415,A,B,A,0,3,5,0,0.0
416,B,A,A,1,11,50,1,0.02
417,B,B,B,1,4,6,0,0.0
418,A,A,A,0,11,53,1,0.018867924528301886
419,A,B,A,0,17,48,0,0.0
420,B,A,B,1,4,5,0,0.0
421,B,B,B,1,5,5,0,0.0
422,B,A,A,1,3,3,0,0.0
423,A,A,A,0,7,17,2,0.11764705882352941
424,A,A,A,0,2,4,0,0.0
425,B,B,B,1,2,3,0,0.0
426,A,A,A,0,10,51,1,0.0196078431372549
427,A,A,B,0,14,56,1,0.017857142857142856
428,B,A,A,1,3,8,0,0.0
429,A,B,B,0,8,54,1,0.018518518518518517
430,B,A,A,1,2,3,0,0.0
431,B,B,A,1,11,40,0,0.0
432,B,B,A,1,2,4,0,0.0
433,A,A,A,0,12,50,0,0.0
434,A,B,B,0,19,63,2,0.031746031746031744
435,B,A,B,1,3,7,0,0.0
436,B,A,B,1,15,55,1,0.01818181818181818
437,A,B,B,0,18,54,0,0.0
438,A,B,A,0,11,38,1,0.02631578947368421
439,A,A,A,0,8,26,4,0.15384615384615385
440,A,B,B,0,11,49,0,0.0
441,A,B,A,0,11,50,0,0.0
442,A,A,B,0,12,46,1,0.021739130434782608
443,B,A,A,1,13,58,0,0.0
444,A,B,B,0,12,46,3,0.06521739130434782
445,B,B,A,1,5,8,1,0.125
446,A,A,B,0,2,4,0,0.0
447,B,B,B,1,2,8,0,0.0
448,B,A,B,1,3,3,0,0.0
449,B,B,A,1,2,4,0,0.0
450,B,A,A,0,8,33,0,0.0
451,B,B,B,1,18,52,2,0.038461538461538464
452,B,A,B,1,5,8,0,0.0
453,A,A,A,0,8,18,4,0.2222222222222222
454,B,B,A,1,11,46,0,0.0
455,B,B,B,1,2,4,0,0.0
456,B,B,B,1,3,7,0,0.0
457,A,A,B,0,2,4,0,0.0
458,A,A,B,0,8,52,1,0.019230769230769232
459,A,A,A,0,2,2,0,0.0
460,B,B,A,1,14,58,1,0.017241379310344827
461,A,A,B,0,17,49,0,0.0
462,B,A,B,1,3,5,0,0.0
463,B,B,A,1,2,4,0,0.0
464,B,A,B,1,4,9,0,0.0
465,A,A,A,0,7,21,3,0.14285714285714285
466,B,A,B,1,13,63,1,0.015873015873015872
467,A,A,B,0,13,46,0,0.0
468,B,B,A,1,2,3,0,0.0
469,A,B,A,0,5,6,0,0.0
470,B,B,A,1,4,6,0,0.0
471,B,B,A,1,19,58,1,0.017241379310344827
472,A,B,B,0,7,38,0,0.0
473,B,B,B,1,3,7,0,0.0
474,A,A,B,0,14,56,0,0.0
475,B,B,B,1,3,6,0,0.0
476,B,B,B,1,3,6,0,0.0
477,A,B,A,0,6,51,0,0.0
478,B,B,A,0,8,53,1,0.018867924528301886
479,B,A,A,1,4,5,0,0.0
480,B,B,B,1,10,41,3,0.07317073170731707
481,A,A,B,0,2,4,0,0.0
482,A,B,A,0,5,6,0,0.0
483,B,B,B,1,3,3,0,0.0
484,B,A,B,1,4,10,0,0.0
485,A,A,B,0,14,67,0,0.0
486,B,B,B,1,20,49,0,0.0
487,A,B,A,0,13,49,1,0.02040816326530612
488,B,B,A,1,2,3,0,0.0
489,B,A,B,1,3,5,1,0.2
490,A,A,B,0,3,4,0,0.0
491,B,A,A,1,3,7,0,0.0
492,A,B,B,0,5,34,5,0.14705882352941177
493,A,B,B,0,12,53,0,0.0
494,B,A,A,1,4,9,0,0.0
495,B,A,A,1,15,51,0,0.0
496,B,B,A,1,12,47,1,0.02127659574468085
497,A,B,B,0,6,37,0,0.0
498,A,A,A,0,13,50,0,0.0
499,A,B,B,0,7,25,4,0.16
500,B,A,B,1,4,7,0,0.0
501,B,B,B,1,8,49,0,0.0
502,B,A,A,1,14,52,1,0.019230769230769232
503,B,A,A,0,15,59,0,0.0
504,A,B,A,0,4,11,0,0.0
505,A,B,A,0,14,44,1,0.022727272727272728
506,B,A,A,1,4,5,0,0.0
507,B,A,A,1,3,7,0,0.0
508,A,A,B,0,3,17,4,0.23529411764705882
509,A,A,A,0,14,64,0,0.0
510,A,B,B,0,11,48,1,0.020833333333333332
511,A,A,B,0,5,23,6,0.2608695652173913
512,A,B,A,0,19,59,0,0.0
513,A,B,A,0,13,45,0,0.0
514,A,B,A,0,15,51,4,0.0784313725490196
515,B,B,B,1,2,7,0,0.0
516,A,A,B,0,11,32,0,0.0
517,B,B,A,1,14,45,0,0.0
518,A,A,A,0,9,28,2,0.07142857142857142
519,A,A,A,0,3,6,0,0.0
520,B,A,B,1,5,26,6,0.23076923076923078
521,A,A,B,0,4,5,0,0.0
522,A,A,B,0,14,59,0,0.0
523,A,A,B,0,6,24,2,0.08333333333333333
524,B,A,A,1,2,4,0,0.0
525,A,A,B,0,19,61,2,0.03278688524590164
526,A,A,B,0,7,28,4,0.14285714285714285
527,B,A,B,1,2,2,0,0.0
528,B,A,A,1,2,5,0,0.0
529,B,A,A,1,12,42,1,0.023809523809523808
530,B,B,A,1,2,7,0,0.0
531,B,B,A,1,3,4,0,0.0
532,B,B,B,1,3,8,0,0.0
533,B,B,B,1,13,53,0,0.0
534,A,A,A,0,2,3,0,0.0
535,A,A,A,0,13,50,2,0.04
536,A,B,B,0,16,54,0,0.0
537,B,A,A,1,3,8,0,0.0
538,B,A,A,0,10,49,0,0.0
539,A,B,A,0,11,49,3,0.061224489795918366
540,B,A,B,1,8,43,1,0.023255813953488372
541,A,A,B,0,3,22,2,0.09090909090909091
542,A,B,B,0,12,56,1,0.017857142857142856
543,A,B,B,0,9,58,0,0.0
544,A,A,A,0,10,54,0,0.0
545,B,A,A,1,2,8,0,0.0
546,B,B,B,1,2,4,0,0.0
547,A,A,A,0,9,51,0,0.0
548,A,B,A,0,5,5,0,0.0
549,B,A,A,1,15,56,1,0.017857142857142856
550,A,A,B,0,11,50,0,0.0
551,A,B,A,0,12,43,1,0.023255813953488372
552,B,A,B,1,10,56,0,0.0
553,B,A,B,1,13,53,1,0.018867924528301886
554,B,A,B,1,2,3,0,0.0
555,B,A,B,1,13,40,0,0.0
556,A,B,B,0,16,71,1,0.014084507042253521
557,B,A,B,1,2,8,0,0.0
558,A,A,A,0,8,26,4,0.15384615384615385
559,B,A,B,1,2,4,0,0.0
560,B,B,A,1,3,5,0,0.0
561,A,A,B,0,8,18,1,0.05555555555555555
562,A,A,B,0,11,46,1,0.021739130434782608
563,A,B,A,0,10,45,0,0.0
564,A,B,B,0,11,45,0,0.0
565,B,A,A,1,3,5,0,0.0
566,B,A,B,1,13,53,1,0.018867924528301886
567,A,A,A,0,4,20,3,0.15
568,B,B,A,1,2,3,0,0.0
569,A,A,B,0,14,50,0,0.0
570,B,A,A,1,3,2,0,0.0
571,B,A,B,1,15,54,0,0.0
572,A,B,A,0,12,39,1,0.02564102564102564
573,A,B,B,0,13,55,3,0.05454545454545454
574,B,B,B,1,3,8,0,0.0
575,B,A,B,1,2,7,0,0.0
576,A,A,B,0,13,44,0,0.0
577,B,B,A,1,9,42,1,0.023809523809523808
578,A,A,B,0,14,48,0,0.0
579,B,B,B,1,3,8,0,0.0
580,A,A,A,0,14,52,2,0.038461538461538464
581,B,B,A,1,3,5,0,0.0
582,A,A,B,0,13,44,1,0.022727272727272728
583,A,B,A,0,9,24,2,0.08333333333333333
584,B,A,B,1,2,3,0,0.0
585,B,B,A,1,4,5,0,0.0
586,B,B,B,1,9,52,0,0.0
587,A,A,A,0,13,48,0,0.0
588,A,B,A,0,12,55,1,0.01818181818181818
589,B,A,B,1,4,6,0,0.0
590,B,A,B,1,7,10,0,0.0
591,B,B,B,1,5,23,3,0.13043478260869565
592,B,B,B,1,13,57,0,0.0
593,A,A,A,0,12,50,0,0.0
594,A,A,A,0,4,16,1,0.0625
595,A,B,A,0,3,4,0,0.0
596,A,A,B,0,8,58,1,0.017241379310344827
597,A,B,B,0,2,7,0,0.0
598,A,B,B,0,11,41,3,0.07317073170731707
599,B,B,B,1,4,5,0,0.0
600,A,B,B,0,11,56,1,0.017857142857142856
601,B,B,B,1,3,4,0,0.0
602,B,A,A,1,4,5,0,0.0
603,A,A,A,0,8,47,1,0.02127659574468085
604,B,B,B,1,2,3,0,0.0
605,A,A,A,0,10,56,0,0.0
606,B,A,B,1,2,2,0,0.0
607,B,A,B,1,2,4,0,0.0
608,A,A,A,0,11,54,0,0.0
609,B,A,A,1,14,51,2,0.0392156862745098
610,A,B,B,0,4,5,0,0.0
611,A,B,A,0,13,56,1,0.017857142857142856
612,A,B,B,0,10,54,0,0.0
613,B,B,A,1,14,60,0,0.0
614,B,B,B,1,3,6,0,0.0
615,B,A,A,1,10,58,0,0.0
616,A,A,B,0,22,65,1,0.015384615384615385
617,A,B,A,0,2,4,0,0.0
618,A,A,B,0,13,60,1,0.016666666666666666
619,A,B,B,0,7,47,1,0.02127659574468085
620,B,A,A,1,3,5,0,0.0
621,B,B,B,1,13,38,0,0.0
622,B,A,B,1,2,4,0,0.0
623,A,B,B,0,14,51,0,0.0
624,A,B,B,0,9,54,1,0.018518518518518517
625,A,A,B,0,3,17,3,0.17647058823529413
626,A,B,A,0,15,49,0,0.0
627,B,A,A,1,4,12,0,0.0
628,A,B,A,0,13,55,2,0.03636363636363636
629,A,A,A,0,8,18,2,0.1111111111111111
630,B,A,B,1,9,55,0,0.0
631,A,B,B,0,20,56,1,0.017857142857142856
632,B,A,B,1,4,5,0,0.0
633,A,A,B,0,2,5,0,0.0
634,B,A,A,1,3,5,0,0.0
635,B,A,A,1,3,4,0,0.0
636,A,B,B,0,13,63,0,0.0
637,A,B,B,0,6,22,5,0.22727272727272727
638,A,A,B,0,10,55,0,0.0
639,B,A,B,1,2,5,0,0.0
640,B,A,B,1,5,6,0,0.0
641,A,A,A,0,14,60,0,0.0
642,B,B,B,1,3,7,0,0.0
643,A,A,B,0,4,5,0,0.0
644,B,A,B,1,15,49,0,0.0
645,B,B,A,1,4,5,0,0.0
646,A,A,A,0,3,4,0,0.0
647,B,B,B,1,12,59,1,0.01694915254237288
648,A,A,A,0,14,49,0,0.0
649,B,B,B,1,2,2,0,0.0
